date,sku,stock,reserved,sales,country,price_de,price_ae,price_at,price_be,price_bg,price_ca,price_ch,price_cl,price_cy,price_cz,price_dk,price_gp,price_ee,price_es,price_fi,price_fr,price_gr,price_hr,price_hu,price_il,price_is,price_it,price_kr,price_lt,price_lu,price_lv,price_mc,price_mt,price_nl,price_no,price_pl,price_pt,price_ro,price_se,price_si,price_sk,price_tr,sale_de,sale_ae,sale_at,sale_be,sale_bg,sale_ca,sale_ch,sale_cl,sale_cy,sale_cz,sale_dk,sale_gp,sale_ee,sale_es,sale_fi,sale_fr,sale_gr,sale_hr,sale_hu,sale_il,sale_is,sale_it,sale_kr,sale_lt,sale_lu,sale_lv,sale_mc,sale_mt,sale_nl,sale_no,sale_pl,sale_pt,sale_ro,sale_se,sale_si,sale_sk,sale_tr
2021-09-10,B0000001,,,24,NL,25.9500007629395,,26.1700000762939,,,,,,,,,,,24.9500007629395,,28.1900005340576,,,,,,28.75,,,,,,,25.9500007629395,,,,,,,,,17,,2,,,,,,,,,,,1,,1,,,,,,2,,,,,,,1,,,,,,,,
2021-09-10,B0000002,,,6,FR,33.9500007629395,,,,,,,,,,,,,32.9500007629395,,37.7999992370606,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
2021-09-10,B0000009,,,4,DE,38.3300018310547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-11,B0000010,,,13,NL,28.8033336003621,,29.8400001525879,,,,,,,,,,,,,34.4799995422363,,,,,,34.5200004577637,,,,,,,30.6700000762939,,,,,,,,,6,,1,,,,,,,,,,,,,4,,,,,,1,,,,,,,1,,,,,,,,
2021-09-11,B0000001,,,24,IT,25.9500007629395,,26.1700000762939,,,,,,,,,,,24.9500007629395,,28.1900005340576,,,,,,28.75,,,,,,,,,,,,,,,,18,,2,,,,,,,,,,,1,,1,,,,,,2,,,,,,,,,,,,,,,
2021-09-11,B0000002,,,7,PT,31.7820007324219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0900001525879,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2021-09-11,B0000009,,,3,IT,40.1199989318848,,,,,,,,,,,,,36.3899993896484,,,,,,,,37.9500007629395,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,
2021-09-12,B0000010,,,14,FR,29.5900001525879,,,,,,,,,,,,,,,34.4799995422363,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
2021-09-12,B0000001,,,32,SE,25.9500007629395,,26.1700000762939,,,,,,,,,,,24.9500007629395,,28.1900005340576,,,,,,23.5699996948242,,,,,,,,,,,,276.25,,,,26,,1,,,,,,,,,,,1,,2,,,,,,1,,,,,,,,,,,,1,,,
2021-09-12,B0000002,,,9,IT,33.9500007629395,,,,,,,,,,,,,32.9500007629395,,37.7999992370606,,,,,,36.9500007629395,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,2,,1,,,,,,2,,,,,,,,,,,,,,,
2021-09-12,B0000009,,,7,IT,41.939998626709,,,,,,,,,,,,,36.7400016784668,,46.5699996948242,,,,,,37.9500007629395,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,3,,,,,,1,,,,,,,,,,,,,,,
2021-09-13,B0000010,,,2,FR,29.5900001525879,,,,,,,,,,,,,,,34.4799995422363,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2021-09-13,B0000001,,,31,IT,25.7321059578343,,23.9899997711182,,,,,,,,,,,24.9500007629395,,28.1900005340576,,,,,,28.75,,,,,,,,,,,,,,,,21,,3,,,,,,,,,,,3,,2,,,,,,2,,,,,,,,,,,,,,,
2021-09-13,B0000002,,,12,IT,33.9500007629395,,34.2400016784668,,,,,,,,,,,32.9500007629395,,,,,,,,36.9500007629395,,,,,,,,,,,,,,,,7,,1,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,
2021-09-13,B0000009,,,4,IT,43.6599998474121,,,,,,,,,,,,,36.7400016784668,,46.5699996948242,,,,,,37.9500007629395,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,
2021-09-14,B0000010,,,11,IT,29.5900001525879,,,,,,,,,,,,,,,34.4799995422363,,,,,,34.5200004577637,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,
2021-09-14,B0000001,,,25,IT,25.9500007629395,,26.1700000762939,,,,,,,,,,,24.9500007629395,,28.1900005340576,,,,,,28.75,,,,,,,,,,,,,,,,19,,2,,,,,,,,,,,2,,1,,,,,,1,,,,,,,,,,,,,,,
2021-09-14,B0000002,,,7,IT,33.9500007629395,,,,,,,,,,,,,,,,,,,,,36.9500007629395,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
2021-09-14,B0000009,,,2,IT,,,,,,,,,,,,,,37.7900009155273,,,,,,,,37.9500007629395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,
2021-09-15,B0000010,,,14,IT,29.5900001525879,,,,,,,,,,,,,31.6399993896484,,34.4799995422363,,,,,,28.2999992370605,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,
2021-09-15,B0000001,,,26,IT,25.6542863845825,,26.1700000762939,,,,,,,,,,,24.9500007629395,,28.1900005340576,,,,,,28.75,,,,,,,,,,,,,,,,14,,2,,,,,,,,,,,4,,3,,,,,,3,,,,,,,,,,,,,,,
2021-09-15,B0000002,,,8,FR,33.9500007629395,,,,,,,,,,,,,32.9500007629395,,37.7999992370606,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
2021-09-15,B0000009,,,4,FR,45.9149990081787,,,,,,,,,,,,,37.7900009155273,,48.1199989318848,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
2021-09-16,B0000010,43,38,15,FR,29.5900001525879,,29.8400001525879,,,,,,,,,,,31.6399993896484,,34.4799995422363,,,,,,,,,,,,,,,,,,,,,,9,,2,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,
2021-09-16,B0000001,262,275,17,IT,25.9500007629395,,,,,,,,,,,,,24.9500007629395,,28.1900005340576,,,,,,28.75,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,1,,3,,,,,,1,,,,,,,,,,,,,,,
2021-09-16,B0000002,49,44,4,FR,33.9500007629395,,,,,,,,,,,,,,,37.7999992370606,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2021-09-16,B0000009,81,5,1,IT,,,,,,,,,,,,,,,,,,,,,,37.9500007629395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2021-09-17,B0000010,34,103,11,ES,29.5900001525879,,29.8400001525879,,,,,,,,,,,31.6399993896484,,,,,,,,,,,,,,,,,,,,,,,,8,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
2021-09-17,B0000001,300,213,30,IT,25.9500007629395,,,,,,,,,,,,,24.9500007629395,,28.1900005340576,,,,,,28.0099999564035,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,1,,1,,,,,,8,,,,,,,,,,,,,,,
2021-09-17,B0000002,60,33,4,LU,33.9500007629395,,,,,,,,,,,,,,,,,,,,,,,,33.3800010681152,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
2021-09-17,B0000009,79,15,2,FR,47.6500015258789,,,,,,,,,,,,,,,41.810001373291,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2021-09-18,B0000010,,,19,FR,29.5900001525879,,29.8400001525879,,,,,,,,,,,,,34.4799995422363,,,,,,,,,,,,,,,,,,,,,,14,,2,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
2021-09-18,B0000001,,,18,FR,25.9500007629395,,26.1700000762939,,,,,,,,,,,24.9500007629395,,28.1900005340576,,,,,,,,,,,,,,,,,,,,,,12,,1,,,,,,,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,
2021-09-18,B0000002,,,10,DE,33.9500007629395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-18,B0000009,,,3,DE,48.2600002288818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-19,B0000010,15,115,20,PT,29.5900001525879,,29.8400001525879,,,,24.8700008392334,,,,,,,31.6399993896484,,34.4799995422363,,,,,,32.4466667175293,,,,,,,,,,30.5900001525879,,,,,,10,,2,,,,1,,,,,,,1,,2,,,,,,3,,,,,,,,,,1,,,,,
2021-09-19,B0000001,346,136,24,IT,25.9500007629395,,26.1700000762939,,,,,,,,,,,24.9500007629395,,28.1900005340576,,,,,,28.75,,,,,,,,,,,,,,,,17,,1,,,,,,,,,,,1,,2,,,,,,3,,,,,,,,,,,,,,,
2021-09-19,B0000002,55,34,11,NL,33.9500007629395,,,,,,,,,,,,,,,37.7999992370606,,,,,,,,,33.3800010681152,,,,33.9500007629395,,,,,,,,,8,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,
2021-09-19,B0000009,76,14,2,FR,48.4300003051758,,,,,,,,,,,,,,,51.4300003051758,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
